seller_id,seller_state,orders,late_orders,late_rate,avg_review,low_review_rate,median_ship_days,slow_handoff_rate,expected_late_orders_at_network_rate,excess_late_orders,seller
6560211a19b47992c3666cc44a7e94c0,SP,1774,114,0.0643,4.0028,0.1536,1.1546,0.0468,141.6308,-27.6308,Seller 656021
128639473a139ac0f3e5f5ade55873a5,PR,514,33,0.0642,4.2296,0.0992,2.2739,0.2451,41.0362,-8.0362,Seller 128639
5dceca129747e92ff8ef7a997dc4f8ca,SP,313,20,0.0639,4.0288,0.1885,2.0548,0.1629,24.989,-4.989,Seller 5DCECA
fa40cc5b934574b62717c68f3d678b6d,SP,298,19,0.0638,4.4832,0.0705,2.6956,0.2282,23.7914,-4.7914,Seller FA40CC
01fdefa7697d26ad920e9e0346d4bd1b,PR,126,8,0.0635,4.373,0.0556,1.6611,0.0556,10.0595,-2.0595,Seller 01FDEF
5a8e7d5003a1f221f9e1d6e411de7c23,SP,126,8,0.0635,4.1984,0.119,2.0943,0.1508,10.0595,-2.0595,Seller 5A8E7D
001cca7ae9ae17fb1caed9dfb1094831,ES,191,12,0.0628,4.0785,0.1361,2.0805,0.1885,15.2489,-3.2489,Seller 001CCA
0241d4d5d36f10f80c644447315af0bd,PR,223,14,0.0628,4.4574,0.0762,1.7581,0.1525,17.8037,-3.8037,Seller 0241D4
41b39e28db005d9731d9d485a83b4c38,SP,176,11,0.0625,4.2428,0.1156,2.6152,0.2273,14.0513,-3.0513,Seller 41B39E
d2374cbcbb3ca4ab1086534108cc3ab7,SP,485,30,0.0619,3.8745,0.1736,4.123,0.5299,38.7209,-8.7209,Seller D2374C
0c8380b62e38e8a1e6adbeba7eb9688c,MG,146,9,0.0616,4.1027,0.1164,2.7412,0.2808,11.6562,-2.6562,Seller 0C8380
d91fb3b7d041e83b64a00a3edfb37e4f,SP,520,32,0.0615,4.1445,0.1367,2.1318,0.1942,41.5152,-9.5152,Seller D91FB3
cc419e0650a3c5ba77189a1882b7556a,SP,1642,101,0.0615,4.1582,0.1275,2.5601,0.2266,131.0924,-30.0924,Seller CC419E
6edacfd9f9074789dad6d62ba7950b9c,SP,196,12,0.0612,4.4821,0.0615,1.6687,0.1071,15.6481,-3.6481,Seller 6EDACF
7a67c85e85bb2ce8582c35f2203ad736,SP,1112,67,0.0603,4.3183,0.0872,1.5124,0.0926,88.7787,-21.7787,Seller 7A67C8
9b013e03b2ab786505a1d3b5c0756754,SP,166,10,0.0602,4.253,0.1145,2.1029,0.1687,13.2529,-3.2529,Seller 9B013E
3d871de0142ce09b7081e2b9d1733cb1,SP,1033,62,0.06,4.2101,0.0997,2.9197,0.3679,82.4716,-20.4716,Seller 3D871D
1c129092bf23f28a5930387c980c0dfc,SP,184,11,0.0598,4.3641,0.087,4.1468,0.5435,14.69,-3.69,Seller 1C1290
dd2bdf855a9172734fbc3744021ae9b9,MG,101,6,0.0594,3.87,0.18,3.4953,0.4554,8.0635,-2.0635,Seller DD2BDF
1da3aeb70d7989d1e6d9b0e887f97c23,SP,253,15,0.0593,4.1739,0.1186,1.4971,0.0514,20.1988,-5.1988,Seller 1DA3AE
25e6ffe976bd75618accfe16cefcbd0d,SP,103,6,0.0583,4.5146,0.0583,1.5636,0.0874,8.2232,-2.2232,Seller 25E6FF
a1043bafd471dff536d0c462352beb48,MG,692,40,0.0578,4.2934,0.091,1.7416,0.0824,55.2472,-15.2472,Seller A1043B
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,368,21,0.0571,3.9946,0.1603,2.2819,0.1929,29.38,-8.38,Seller 2138CC
6d66611d7c44cc30ce351abc49a68421,SP,158,9,0.057,3.9684,0.1519,3.3691,0.4051,12.6142,-3.6142,Seller 6D6661
ceaec5548eefc6e23e6607c5435102e7,SP,194,11,0.0567,4.1959,0.1134,2.882,0.3041,15.4884,-4.4884,Seller CEAEC5
87142160b41353c4e5fca2360caf6f92,RS,300,17,0.0567,4.4247,0.0569,2.1069,0.22,23.9511,-6.9511,Seller 871421
cca3071e3e9bb7d12640c9fbe2301306,SP,654,37,0.0566,3.9754,0.1677,3.2146,0.3654,52.2134,-15.2134,Seller CCA307
53e4c6e0f4312d4d2107a8c9cddf45cd,SP,443,25,0.0564,4.14,0.1264,3.9483,0.4876,35.3678,-10.3678,Seller 53E4C6
1a3df491d1c4f1589fc2b934ada68bf2,SC,160,9,0.0562,4.2704,0.0943,3.6503,0.4188,12.7739,-3.7739,Seller 1A3DF4
2528513dd95219a6013d4d05176e391a,SP,145,8,0.0552,4.1172,0.131,1.9587,0.2138,11.5764,-3.5764,Seller 252851
f80edd2c5aaa505cc4b0a3b219abf4b8,SP,109,6,0.055,4.2477,0.1101,2.7404,0.3394,8.7022,-2.7022,Seller F80EDD
7e93a43ef30c4f03f38b393420bc753a,SP,314,17,0.0541,4.3917,0.0732,1.9525,0.1656,25.0688,-8.0688,Seller 7E93A4
537eb890efff034a88679788b647c564,RJ,148,8,0.0541,4.3129,0.068,1.2179,0.0676,11.8159,-3.8159,Seller 537EB8
813348c996469b40f2e028d5429d3495,SP,167,9,0.0539,4.0838,0.1437,1.4816,0.0838,13.3328,-4.3328,Seller 813348
bfd27a966d91cfaafdb25d076585f0da,SP,113,6,0.0531,4.3186,0.1062,1.8455,0.1239,9.0216,-3.0216,Seller BFD27A
f8db351d8c4c4c22c6835c19a46f01b0,SP,642,34,0.053,4.298,0.0874,1.2744,0.0545,51.2554,-17.2554,Seller F8DB35
1e8b33f18b4f7598d87f5cbee2282cc2,SP,115,6,0.0522,4.4696,0.087,1.2413,0.0435,9.1813,-3.1813,Seller 1E8B33
9f505651f4a6abe901a56cdc21508025,SP,387,20,0.0517,4.3824,0.0904,1.0493,0.031,30.8969,-10.8969,Seller 9F5056
7178f9f4dd81dcef02f62acdf8151e01,SC,201,10,0.0498,4.0597,0.1443,4.3217,0.5522,16.0472,-6.0472,Seller 7178F9
7299e27ed73d2ad986de7f7c77d919fa,MG,331,16,0.0483,4.435,0.0665,1.1069,0.0453,26.426,-10.426,Seller 7299E2
36a968b544695394e4e9d7572688598f,SP,146,7,0.0479,3.7379,0.2138,3.032,0.3836,11.6562,-4.6562,Seller 36A968
4d6d651bd7684af3fffabd5f08d12e5a,SP,356,17,0.0478,4.264,0.1096,3.1846,0.4298,28.422,-11.422,Seller 4D6D65
aafe36600ce604f205b86b5084d3d767,SC,127,6,0.0472,4.4016,0.0945,1.7091,0.1417,10.1393,-4.1393,Seller AAFE36
c33847515fa6305ce6feb1e818569f13,SC,108,5,0.0463,3.8981,0.1944,1.8,0.0556,8.6224,-3.6224,Seller C33847
a3a38f4affed601eb87a97788c949667,SC,244,11,0.0451,4.4385,0.0738,1.3716,0.0615,19.4802,-8.4802,Seller A3A38F
669ae81880e08f269a64487cfb287169,SC,158,7,0.0443,4.2975,0.1076,1.3812,0.0633,12.6142,-5.6142,Seller 669AE8
de722cd6dad950a92b7d4f82673f8833,PE,334,14,0.0419,4.3204,0.0868,1.815,0.1138,26.6656,-12.6656,Seller DE722C
080102cd0a76b09e0dcf55fcacc60e05,MG,120,5,0.0417,4.5417,0.0333,1.1922,0.0417,9.5804,-4.5804,Seller 080102
7008613ea464bad5cb9b83456e1e6a8f,SC,122,5,0.041,4.2787,0.0738,2.539,0.1967,9.7401,-4.7401,Seller 700861
53243585a1d6dc2643021fd1853d8905,BA,346,14,0.0405,4.1936,0.104,3.0669,0.341,27.6236,-13.6236,Seller 532435
db4350fd57ae30082dec7acbaacc17f9,SP,127,5,0.0394,4.2441,0.0945,1.9681,0.1417,10.1393,-5.1393,Seller DB4350
710e3548e02bc1d2831dfc4f1b5b14d4,PR,128,5,0.0391,3.4375,0.3047,1.8562,0.3281,10.2191,-5.2191,Seller 710E35
dbb9b48c841a0e39e21f98e1a6b2ec3e,SP,103,4,0.0388,4.301,0.0971,1.9587,0.165,8.2232,-4.2232,Seller DBB9B4
0db783cfcd3b73998abc6e10e59a102f,SP,129,5,0.0388,4.2171,0.124,2.2285,0.2481,10.299,-5.299,Seller 0DB783
1c68394e931a64f90ea236c5ea590300,PR,132,5,0.0379,4.0078,0.1395,4.4393,0.5303,10.5385,-5.5385,Seller 1C6839
562fc2f2c2863ab7e79a9e4388a58a14,SP,246,9,0.0366,4.2642,0.0894,1.5963,0.126,19.6399,-10.6399,Seller 562FC2
44073f8b7e41514de3b7815dd0237f4f,DF,137,5,0.0365,3.7591,0.2044,2.3989,0.2993,10.9377,-5.9377,Seller 44073F
85d9eb9ddc5d00ca9336a2219c97bb13,MG,494,18,0.0364,4.2348,0.0891,5.9947,0.6842,39.4395,-21.4395,Seller 85D9EB
86ccac0b835037332a596a33b6949ee1,SC,169,6,0.0355,4.2738,0.1071,2.5382,0.2426,13.4925,-7.4925,Seller 86CCAC
5cf13accae3222c70a9cac40818ae839,MG,141,5,0.0355,4.5603,0.0496,1.6466,0.0709,11.257,-6.257,Seller 5CF13A
2a84855fd20af891be03bc5924d2b453,MG,152,5,0.0329,4.375,0.0789,1.4526,0.1118,12.1352,-7.1352,Seller 2A8485
8a32e327fe2c1b3511609d81aaf9f042,SP,123,4,0.0325,3.9675,0.1545,1.6993,0.1138,9.82,-5.82,Seller 8A32E3
b76dba6c951ab00dc4edf0a1aa88037e,SP,155,5,0.0323,4.2194,0.1032,1.7946,0.0774,12.3747,-7.3747,Seller B76DBA
7722b1df1b0e383e000397b2c11e3e19,SP,124,4,0.0323,4.2661,0.1048,1.9913,0.121,9.8998,-5.8998,Seller 7722B1
0b90b6df587eb83608a64ea8b390cf07,PR,157,5,0.0318,4.0705,0.1603,2.0626,0.172,12.5344,-7.5344,Seller 0B90B6
95e03ca3d4146e4011985981aeb959b9,RJ,166,5,0.0301,4.0793,0.128,1.8383,0.1386,13.2529,-8.2529,Seller 95E03C
aaed1309374718fdd995ee4c58c9dfcd,SC,103,3,0.0291,4.0874,0.1262,1.5057,0.0777,8.2232,-5.2232,Seller AAED13
1127b7f2594683f2510f1c2c834a486b,SP,108,3,0.0278,4.2407,0.1296,2.0512,0.1944,8.6224,-5.6224,Seller 1127B7
17ca9b9e9b9ef8fdb529001b49ebb50f,MG,112,3,0.0268,4.0804,0.1339,1.2552,0.1071,8.9417,-5.9417,Seller 17CA9B
37be5a7c751166fbc5f8ccba4119e043,SP,266,7,0.0263,4.3245,0.0906,2.8685,0.2857,21.2366,-14.2366,Seller 37BE5A
dbc22125167c298ef99da25668e1011f,MG,382,10,0.0262,4.3508,0.0681,1.0689,0.0393,30.4977,-20.4977,Seller DBC221
c3cfdc648177fdbbbb35635a37472c53,PR,272,7,0.0257,4.5147,0.0625,1.3638,0.0588,21.7157,-14.7157,Seller C3CFDC
cab85505710c7cb9b720bceb52b01cee,SP,198,5,0.0253,4.3452,0.0609,2.3165,0.2626,15.8077,-10.8077,Seller CAB855
259f7b5e6e482c230e5bfaa670b6bb8f,SP,131,3,0.0229,4.4308,0.0769,1.3952,0.0458,10.4586,-7.4586,Seller 259F7B
6cd68b3ed6d59aaa9fece558ad360c0a,MG,136,3,0.0221,4.4559,0.0294,1.6637,0.0956,10.8578,-7.8578,Seller 6CD68B
e26901d5ab434ce92fd9b5c256820a4e,SP,183,4,0.0219,4.2186,0.0984,2.5199,0.224,14.6102,-10.6102,Seller E26901
b4ffb71f0cb1b1c3d63fad021ecf93e1,SP,139,3,0.0216,4.3015,0.0882,1.265,0.0647,11.0973,-8.0973,Seller B4FFB7
33a6f4b1e7cdc205511e76ba1b6e0186,SP,100,2,0.02,4.46,0.07,1.4393,0.05,7.9837,-5.9837,Seller 33A6F4
6c7d50c24b3ccd2fd83b44d8bb34e073,SP,102,2,0.0196,4.598,0.0294,2.8961,0.2549,8.1434,-6.1434,Seller 6C7D50
